period,w,n,pi,u_rate,y,R,L,h,k,inv
29,-0.0021439304071501,-0.000380968757337634,0.000775102454050283,0.000353674694311937,-0.00296321607359331,0.000732695456331763,5.97363507755717e-22,7.72749153441375e-20,-0.00796056681356953,-0.00170160613866196
30,-0.00202951523852448,-0.000333966366528912,0.000763756409729396,0.000310039735063895,-0.00293866717548595,0.000741816608597079,5.74091919423656e-22,9.33510070602428e-20,-0.0078021075940772,-0.00162219803387664
31,-0.00193294944737917,-0.000295281025335042,0.000750740988398237,0.000274125960095285,-0.00290911726640669,0.000745947651736966,5.55641478477287e-22,9.89064267898987e-20,-0.00764630819627651,-0.00157013168204957
32,-0.00185156838413543,-0.000263929413485163,0.000736640524185709,0.000245020497971089,-0.00287517473367742,0.000745870910303349,5.4081478695583e-22,9.72337301314989e-20,-0.00749358556327497,-0.00153740287621502
33,-0.00178285605819772,-0.000238878875111326,0.000721912872890704,0.00022176467625061,-0.00283750754846674,0.000742332901398221,5.28645195043869e-22,9.08733679207864e-20,-0.00734418905222571,-0.0015177251213046
34,-0.00172452412703462,-0.000219119468206643,0.000706907243839289,0.000203420909046085,-0.00279679237137805,0.000736018684985911,5.183676737e-22,8.17416766075819e-20,-0.00719824118161414,-0.00150627422776262
35,-0.00167455258085798,-0.000203709891457987,0.000691881981122705,0.000189115333480929,-0.00275367866165325,0.000727537575784207,5.0938938222608e-22,7.12460275059723e-20,-0.00705577125969722,-0.00149944430493732
36,-0.00163120286164652,-0.000191803907329172,0.000677021277749186,0.00017806233972189,-0.00270876520122505,0.000717417313921494,5.0126146389307e-22,6.03861751540909e-20,-0.006916742565654,-0.00149462349796876
37,-0.0015930120026342,-0.000182662605742195,0.000662450238960217,0.000169575956043131,-0.00266258646683523,0.000706104261154379,4.93653053787526e-22,4.98416554309458e-20,-0.00678107385549709,-0.00148999415937765
38,-0.00155877448427832,-0.000175656746281946,0.000648248018318608,0.000163072023226404,-0.00261560649800374,0.000693967651968991,4.86328057333273e-22,4.00457053940251e-20,-0.00664865599440767,-0.0014843594119204
39,-0.00152751689183636,-0.000170262474540501,0.00063445896087373,0.000158064217802874,-0.00256821821943436,0.000681306354351452,4.79124939581611e-22,3.12466157086693e-20,-0.00651936449705408,-0.0014769961002639
