time,h
2064q1,456.0461877750
2064q2,455.8148928804
2064q3,455.5837152927
2064q4,455.3526549523
2065q1,455.1217117997
2065q2,454.8908857756
2065q3,454.6601768205
2065q4,454.4295848750
2066q1,454.1991098799
2066q2,453.9687517757
2066q3,453.7385105032
2066q4,453.5083860032
2067q1,453.2783782164
2067q2,453.0484870837
2067q3,452.8187125458
2067q4,452.5890545437
2068q1,452.3595130181
2068q2,452.1300879102
2068q3,451.9007791607
2068q4,451.6715867108
2069q1,451.4425105014
2069q2,451.2135504735
2069q3,450.9847065682
2069q4,450.7559787267
2070q1,450.5273668901
2070q2,450.2988709996
2070q3,450.0704909962
2070q4,449.8422268213
2071q1,449.6140784162
2071q2,449.3860457220
2071q3,449.1581286802
2071q4,448.9303272320
2072q1,448.7026413189
2072q2,448.4750708821
2072q3,448.2476158633
2072q4,448.0202762038
2073q1,447.7930518451
2073q2,447.5659427288
2073q3,447.3389487964
2073q4,447.1120699894
2074q1,446.8853062496
2074q2,446.6586575185
2074q3,446.4321237378
2074q4,446.2057048492
2075q1,445.9794007944
2075q2,445.7532115152
2075q3,445.5271369534
2075q4,445.3011770509
2076q1,445.0753317493
2076q2,444.8496009907
2076q3,444.6239847169
2076q4,444.3984828699
2077q1,444.1730953917
2077q2,443.9478222241
2077q3,443.7226633093
2077q4,443.4976185894
2078q1,443.2726880063
2078q2,443.0478715022
2078q3,442.8231690193
2078q4,442.5985804997
2079q1,442.3741058856
2079q2,442.1497451193
2079q3,441.9254981429
2079q4,441.7013648989
2080q1,441.4773453295
2080q2,441.2534393770
2080q3,441.0296469839
2080q4,440.8059680925
2081q1,440.5824026453
2081q2,440.3589505848
2081q3,440.1356118534
2081q4,439.9123863936
2082q1,439.6892741481
2082q2,439.4662750593
2082q3,439.2433890700
2082q4,439.0206161227
2083q1,438.7979561601
2083q2,438.5754091249
2083q3,438.3529749598
2083q4,438.1306536076
2084q1,437.9084450111
2084q2,437.6863491131
2084q3,437.4643658564
2084q4,437.2424951839
2085q1,437.0207370385
2085q2,436.7990913631
2085q3,436.5775581007
2085q4,436.3561371943
2086q1,436.1348285869
2086q2,435.9136322215
2086q3,435.6925480412
2086q4,435.4715759891
2087q1,435.2507160083
2087q2,435.0299680421
2087q3,434.8093320336
2087q4,434.5888079259
2088q1,434.3683956624
2088q2,434.1480951863
2088q3,433.9279064410
2088q4,433.7078293698
2089q1,433.4878639159
2089q2,433.2680100229
2089q3,433.0482676341
2089q4,432.8286366930
2090q1,432.6091171431
2090q2,432.3897089279
2090q3,432.1704119908
2090q4,431.9512262755
2091q1,431.7321517256
2091q2,431.5131882846
2091q3,431.2943358963
2091q4,431.0755945043
2092q1,430.8569640523
2092q2,430.6384444840
2092q3,430.4200357432
2092q4,430.2017377737
2093q1,429.9835505193
2093q2,429.7654739239
2093q3,429.5475079314
2093q4,429.3296524855
2094q1,429.1119075304
2094q2,428.8942730099
2094q3,428.6767488680
2094q4,428.4593350488
2095q1,428.2420314962
2095q2,428.0248381545
2095q3,427.8077549676
2095q4,427.5907818797
2096q1,427.3739188350
2096q2,427.1571657777
2096q3,426.9405226519
2096q4,426.7239894019
2097q1,426.5075659721
2097q2,426.2912523066
2097q3,426.0750483499
2097q4,425.8589540462
2098q1,425.6429693400
2098q2,425.4270941757
2098q3,425.2113284978
2098q4,424.9956722506
2099q1,424.7801253787
2099q2,424.5646878267
2099q3,424.3493595391
2099q4,424.1341404604
2100q1,423.9190305353
2100q2,423.7040297084
2100q3,423.4891379244
2100q4,423.2743551280
2101q1,423.0596812639
2101q2,422.8451162768
2101q3,422.6306601116
2101q4,422.4163127131
2102q1,422.2020740260
2102q2,421.9879439953
2102q3,421.7739225659
2102q4,421.5600096826
2103q1,421.3462052904
