period,w,n,pi,u_rate,y,R,L,h,k,inv
29,0.0887726759773466,0.010314496914763,-0.0361013131535779,-0.0095755267933355,0.147208562597628,-0.0379050378876265,-2.84744713380672e-20,5.96014467952196e-18,0.373295548128869,0.116884238815696
30,0.0872202954419855,0.0101155681709926,-0.0354512027049977,-0.00939085006778314,0.144609368922996,-0.0373441568985255,-2.7934089194012e-20,5.10094085262496e-18,0.366744878538796,0.111268764525929
31,0.085682106631264,0.00992432388624765,-0.0348076584581997,-0.00921330725713703,0.142025294818634,-0.0367669906858145,-2.74043733789967e-20,4.37477568011135e-18,0.360233533128591,0.106291062130597
32,0.0841587603570796,0.00973924520241613,-0.0341715903321896,-0.00904148832010604,0.139461977486571,-0.0361785202111441,-2.68847396348989e-20,3.76024067758788e-18,0.353774051875228,0.101854282994062
33,0.0826510177375678,0.00955917418860044,-0.0335436822194837,-0.00887431828440345,0.136923950155521,-0.0355828220808723,-2.63747693284304e-20,3.23952558183226e-18,0.347376632537276,0.0978772783571529
34,0.0811597015122937,0.00938324895781831,-0.0329244406380988,-0.00871099701193626,0.134414817169311,-0.0349832194268947,-2.58741616598511e-20,2.79779074062469e-18,0.34104951638035,0.0942919862602563
35,0.0796856523506232,0.00921084531241768,-0.0323142333741862,-0.00855094502496639,0.131937406094968,-0.0343824104013973,-2.53826968359082e-20,2.42264988183382e-18,0.334799309858118,0.0910412554910584
36,0.0782296921302822,0.00904152577656176,-0.0317133199617088,-0.00839375619010398,0.129493898677557,-0.0337825768426916,-2.49002082941887e-20,2.10374462765645e-18,0.328631252999611,0.0880770355178517
37,0.0767925949036286,0.00887499618921219,-0.0311218755680704,-0.00823915742113575,0.127085942659193,-0.0331854755780945,-2.4426562257706e-20,1.83239492083186e-18,0.322549443475323,0.0853588720280842
38,0.0753750654361548,0.00871106957141886,-0.0305400096032718,-0.00808697513500077,0.124714746538614,-0.0325925146799917,-2.39616431138976e-20,1.60131201422748e-18,0.316557023813632,0.0828526570076657
39,0.0739777246880416,0.00854963669459047,-0.0299677801461625,-0.00793710792866296,0.122381159314072,-0.0320048168049903,-2.35053433316102e-20,1.40436284849137e-18,0.310656337977634,0.080529590373727
